id,course_id,title,material_type,content_url,quiz_data,description,duration_seconds,order_index,created_at
1,1,Introduction to AML,VIDEO,https://www.w3schools.com/html/mov_bbb.mp4,null,Overview of Anti-Money Laundering concepts and why they matter,600,1,2026-05-01 06:43:16.48538+00
2,1,KYC Procedures Deep Dive,VIDEO,https://www.w3schools.com/html/mov_bbb.mp4,null,Know Your Customer procedures and documentation requirements,900,2,2026-05-01 06:43:16.48538+00
3,1,AML Compliance Guidelines,PDF,https://example.com/aml-guidelines.pdf,null,Official AML compliance documentation and reference guide,null,3,2026-05-01 06:43:16.48538+00
4,1,Suspicious Transaction Reporting,VIDEO,https://www.w3schools.com/html/mov_bbb.mp4,null,How to identify and report suspicious transactions,720,4,2026-05-01 06:43:16.48538+00
5,1,AML Assessment,QUIZ,null,"{""questions"":[{""id"":1,""correct"":0,""options"":[""Anti-Money Laundering"",""Advanced Money Lending"",""Automated Money Logistics"",""Asset Management Law""],""question"":""What does AML stand for?""},{""id"":2,""correct"":1,""options"":[""Marketing"",""Customer verification and identity"",""Loan processing"",""Tax collection""],""question"":""What is the primary purpose of KYC?""},{""id"":3,""correct"":1,""options"":[""Regular salary deposits"",""Large unexplained cash transactions"",""Mortgage payments"",""Utility payments""],""question"":""Which is a red flag for money laundering?""},{""id"":4,""correct"":1,""options"":[""Media"",""Compliance officer / FIU"",""The customer"",""Social media""],""question"":""Who should you report suspicious transactions to?""},{""id"":5,""correct"":2,""options"":[""₹1 lakh"",""₹5 lakhs"",""₹10 lakhs"",""₹50 lakhs""],""question"":""What is the threshold for cash transaction reporting in India?""}]}",Test your understanding of AML concepts,null,5,2026-05-01 06:43:16.48538+00
7,2,Phishing Attack Prevention,VIDEO,https://www.w3schools.com/html/mov_bbb.mp4,null,How to identify and avoid phishing emails and websites,600,2,2026-05-01 06:43:16.48538+00
8,2,Password Security Best Practices,PDF,https://example.com/password-guide.pdf,null,Guide to creating and managing strong passwords,null,3,2026-05-01 06:43:16.48538+00
9,2,Data Protection & Privacy,VIDEO,https://www.w3schools.com/html/mov_bbb.mp4,null,Understanding data protection laws and privacy regulations,540,4,2026-05-01 06:43:16.48538+00
10,2,Incident Response Procedures,DOCUMENT,https://example.com/incident-response.pdf,null,Step-by-step guide for reporting security incidents,null,5,2026-05-01 06:43:16.48538+00
11,2,Cybersecurity Quiz,QUIZ,null,"{""questions"":[{""id"":1,""correct"":1,""options"":[""A type of fishing"",""Fraudulent attempt to steal sensitive info"",""A software update"",""A network protocol""],""question"":""What is phishing?""},{""id"":2,""correct"":2,""options"":[""password123"",""MyName2024"",""K#9xL!mP2$qR"",""12345678""],""question"":""Which is the strongest password?""},{""id"":3,""correct"":1,""options"":[""Click the links to verify"",""Forward to IT/Security team"",""Reply asking for details"",""Ignore and delete""],""question"":""What should you do if you receive a suspicious email?""},{""id"":4,""correct"":1,""options"":[""Using two passwords"",""Login requiring two forms of verification"",""Having two accounts"",""Logging in twice""],""question"":""What is two-factor authentication?""},{""id"":5,""correct"":1,""options"":[""Antivirus software"",""Malware that encrypts files for ransom"",""A firewall"",""A backup tool""],""question"":""What is ransomware?""}]}",Test your cybersecurity knowledge,null,6,2026-05-01 06:43:16.48538+00
12,3,Fire Prevention Basics,VIDEO,https://www.w3schools.com/html/mov_bbb.mp4,null,Understanding fire hazards and prevention methods,420,1,2026-05-01 06:43:16.48538+00
13,3,Fire Extinguisher Types & Usage,VIDEO,https://www.w3schools.com/html/mov_bbb.mp4,null,Learn about different fire extinguisher types and how to use them,360,2,2026-05-01 06:43:16.48538+00
14,3,Evacuation Procedures,PDF,https://example.com/evacuation-plan.pdf,null,Building evacuation routes and assembly points,null,3,2026-05-01 06:43:16.48538+00
15,3,Fire Safety Assessment,QUIZ,null,"{""questions"":[{""id"":1,""correct"":1,""options"":[""Water"",""CO2"",""Foam"",""Wet Chemical""],""question"":""What type of fire extinguisher is used for electrical fires?""},{""id"":2,""correct"":1,""options"":[""Try to extinguish it"",""Sound the fire alarm"",""Call the fire department"",""Evacuate immediately""],""question"":""What is the first thing to do when you discover a fire?""},{""id"":3,""correct"":1,""options"":[""Push Aim Squeeze Sweep"",""Pull Aim Squeeze Sweep"",""Point Activate Spray Sweep"",""Pull Activate Spray Sweep""],""question"":""What does the PASS technique stand for?""}]}",Fire safety knowledge check,null,4,2026-05-01 06:43:16.48538+00
