id,session_id,user_id,assessment_type,question_ids,total_questions,time_limit_seconds,started_at,submitted_at,is_submitted,is_auto_submitted,integrity_flags,app_switch_count,created_at
1,4,1,POST_TEST,[],0,1800,2026-04-30 19:09:49.639,null,false,false,0,0,2026-04-30 19:09:49.639
2,1,1,POST_TEST,"[2,1]",2,1800,2026-04-30 20:01:53.124,null,false,false,0,0,2026-04-30 20:01:53.124
3,2,1,POST_TEST,"[2,1]",2,1800,2026-04-30 20:02:23.837,null,false,false,0,0,2026-04-30 20:02:23.837
4,11,1,PRE_TEST,"[2,1]",2,1800,2026-05-01 05:24:00.786,null,false,false,0,0,2026-05-01 05:24:00.787
5,12,11,PRE_TEST,"[2,1]",2,1800,2026-05-01 06:30:10.975,null,false,false,0,0,2026-05-01 06:30:10.975
6,21,1,PRE_TEST,"[1,2]",2,1800,2026-05-01 08:12:51.148,null,false,false,0,0,2026-05-01 08:12:51.148
7,21,1,POST_TEST,"[1,2]",2,1800,2026-05-01 08:13:10.088,null,false,false,0,0,2026-05-01 08:13:10.088
8,24,1,PRE_TEST,"[3,1,2]",3,1800,2026-05-01 10:39:38.305,null,false,false,0,0,2026-05-01 10:39:38.305
9,24,1,POST_TEST,"[3,1,2]",3,1800,2026-05-01 10:40:45.994,null,false,false,0,0,2026-05-01 10:40:45.994
11,25,1,POST_TEST,"[8,3,1,2,7]",5,1800,2026-05-01 21:18:01.093,null,false,false,0,0,2026-05-01 21:18:01.093
12,1,1,PRE_TEST,[1],1,1800,2026-05-01 21:43:50.821,null,false,false,0,0,2026-05-01 21:43:50.822
13,1,1,PRE_TEST,[],0,1800,2026-05-01 21:45:30.26,null,false,false,0,0,2026-05-01 21:45:30.262
10,25,1,PRE_TEST,"[2,1,3]",3,1800,2026-05-01 12:43:12.244,2026-05-02 10:05:27.799,true,false,0,0,2026-05-01 12:43:12.244
15,26,1,POST_TEST,"[10,1,14,12,9,15,13,8,3,11]",10,1800,2026-05-03 14:32:30.99,null,false,false,0,0,2026-05-03 14:32:30.99
16,12,1,PRE_TEST,"[1,11,12,10,9,13,15,14,8,2]",10,1800,2026-05-03 14:37:25.521,2026-05-03 14:37:41.948,true,false,0,0,2026-05-03 14:37:25.521
14,26,1,PRE_TEST,"[1,2,11,14,3,12,13,15,8,9]",10,1800,2026-05-03 14:31:58.179,2026-05-03 17:04:10.226,true,false,0,0,2026-05-03 14:31:58.179
17,26,1,PRE_TEST,"[8,13,15,14,10,1,16,3,12,11]",10,1800,2026-05-03 20:38:12.711,2026-05-03 20:38:37.179,true,false,0,0,2026-05-03 20:38:12.711
18,26,1,PRE_TEST,"[14,1,8,10,2,3,15,11,16,12]",10,1800,2026-05-03 20:51:57.767,2026-05-03 20:52:17.437,true,false,0,0,2026-05-03 20:51:57.767
19,28,1,PRE_TEST,"[10,1,13,16,2,8,9,3,14,17]",10,1800,2026-05-04 05:04:59.508,2026-05-04 05:05:13.121,true,false,0,0,2026-05-04 05:04:59.508
20,28,1,PRE_TEST,"[10,3,17,15,16,9,11,8,14,13]",10,1800,2026-05-04 05:05:18.135,2026-05-04 05:05:34.272,true,false,0,0,2026-05-04 05:05:18.135
