id,assessment_session_id,user_id,question_id,selected_answer,is_correct,time_spent_seconds,answered_at
10,10,1,3,Bxn,true,null,2026-05-02 10:05:19.999
11,10,1,2,W,false,null,2026-05-02 10:05:23.77
12,10,1,1,1,true,null,2026-05-02 10:05:26.167
23,15,1,10,Egg,false,null,2026-05-03 14:32:36.366
24,15,1,1,3,false,null,2026-05-03 14:32:38.188
25,15,1,14,Xnxn,true,null,2026-05-03 14:32:39.769
26,15,1,12,N,false,null,2026-05-03 14:32:41.3
27,16,1,1,9,false,null,2026-05-03 14:37:27.441
28,16,1,11,Web web,false,null,2026-05-03 14:37:28.991
29,16,1,12,L,false,null,2026-05-03 14:37:30.708
30,16,1,10,Egg,false,null,2026-05-03 14:37:31.815
31,16,1,9,Db,false,null,2026-05-03 14:37:33.229
32,16,1,13,H,false,null,2026-05-03 14:37:34.52
33,16,1,15,Dbxb,false,null,2026-05-03 14:37:35.93
34,16,1,14,Xnx,false,null,2026-05-03 14:37:37.261
35,16,1,8,Egg,true,null,2026-05-03 14:37:38.639
36,16,1,2,V,false,null,2026-05-03 14:37:40.505
20,14,1,15,Dbd,true,null,2026-05-03 17:03:56.935
16,14,1,14,Xnx,false,null,2026-05-03 17:03:58.399
19,14,1,13,L,false,null,2026-05-03 17:03:59.862
18,14,1,12,N,false,null,2026-05-03 17:04:01.188
15,14,1,11,Web web db,false,null,2026-05-03 17:04:02.754
22,14,1,9,UV,false,null,2026-05-03 17:04:03.773
21,14,1,8,4th,false,null,2026-05-03 17:04:04.929
17,14,1,3,Ndj,false,null,2026-05-03 17:04:05.901
14,14,1,2,A,true,null,2026-05-03 17:04:07.637
13,14,1,1,9,false,null,2026-05-03 17:04:09
37,17,1,8,4th,false,null,2026-05-03 20:38:20.52
38,17,1,13,Z,false,null,2026-05-03 20:38:22.32
39,18,1,14,Xnxn,true,null,2026-05-03 20:52:05.167
40,18,1,1,3,false,null,2026-05-03 20:52:06.479
41,18,1,8,Egg,true,null,2026-05-03 20:52:07.498
42,18,1,10,Db,true,null,2026-05-03 20:52:08.912
43,18,1,2,A,true,null,2026-05-03 20:52:10.084
44,18,1,3,Ndj,false,null,2026-05-03 20:52:11.107
45,18,1,15,Dbxb,false,null,2026-05-03 20:52:12.197
46,18,1,11,Web web db,false,null,2026-05-03 20:52:13.182
47,18,1,16,A,false,null,2026-05-03 20:52:14.1
48,18,1,12,M,false,null,2026-05-03 20:52:16.382
49,19,1,10,Db,true,null,2026-05-04 05:05:01.054
50,19,1,1,3,false,null,2026-05-04 05:05:02.927
51,19,1,13,N,true,null,2026-05-04 05:05:04.032
52,19,1,16,N,false,null,2026-05-04 05:05:05.158
53,19,1,2,V,false,null,2026-05-04 05:05:06.247
54,19,1,8,Egg,true,null,2026-05-04 05:05:07.42
55,19,1,9,Db,false,null,2026-05-04 05:05:09.48
56,19,1,14,Xnx,false,null,2026-05-04 05:05:10.772
57,19,1,17,M,true,null,2026-05-04 05:05:11.98
