id,course_id,user_id,progress,status,enrolled_at,completed_at
4,1,11,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
5,2,11,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
6,3,11,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
7,1,4,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
8,2,4,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
9,3,4,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
10,1,5,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
11,2,5,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
12,3,5,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
13,1,6,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
14,2,6,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
15,3,6,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
16,1,7,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
17,2,7,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
18,3,7,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
19,1,8,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
20,2,8,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
21,3,8,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
22,1,9,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
23,2,9,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
24,3,9,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
25,1,10,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
26,2,10,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
27,3,10,0,ENROLLED,2026-05-01 06:43:16.48538+00,null
28,4,1,0,ENROLLED,2026-05-01 07:29:00.83+00,null
29,4,11,0,ENROLLED,2026-05-01 07:29:00.83+00,null
30,6,1,0,ENROLLED,2026-05-01 08:08:20.984+00,null
1,1,1,20,IN_PROGRESS,2026-05-01 06:43:16.48538+00,null
2,2,1,100,COMPLETED,2026-05-01 06:43:16.48538+00,2026-05-03 21:02:25.76+00
3,3,1,100,COMPLETED,2026-05-01 06:43:16.48538+00,2026-05-04 05:05:57.741+00
