id,title,description,topic,module_code,scheduled_date,start_time,end_time,duration_minutes,campus_id,venue_name,trainer_id,status,max_capacity,is_materials_released,pre_test_enabled,post_test_enabled,passing_threshold,max_retakes,group_photo_s3_key,group_photo_headcount,created_at,updated_at,course_id
1,Safety Orientation - Day 1,Introduction to workplace safety protocols,Safety,SAF001,2026-04-07 10:00:51.419152,2026-04-07 10:00:51.419152,2026-04-07 12:00:51.419152,120,null,Training Room A,2,IN_PROGRESS,30,true,false,true,70,2,null,null,2026-04-07 13:14:51.423102,2026-04-07 13:14:51.423102,null
2,Fire Drill Training,Completed fire safety drill,Fire Safety,FIR001,2026-04-06 09:00:51.419152,2026-04-06 09:00:51.419152,2026-04-06 11:00:51.419152,120,null,Campus Ground,2,COMPLETED,50,true,false,true,70,2,null,null,2026-04-07 13:14:51.423102,2026-04-07 13:14:51.423102,null
4,Leadership Workshop,Developing leadership skills for team managers,Leadership,LED001,2026-04-08 10:00:51.419152,2026-04-08 10:00:51.419152,2026-04-08 16:00:51.419152,360,null,Conference Hall,2,PUBLISHED,25,false,true,true,70,2,null,null,2026-04-07 13:14:51.423102,2026-04-07 13:14:51.423102,null
5,Advanced Technical Training,Deep dive into technical systems,Technical,TEC001,2026-04-14 09:00:51.419152,2026-04-14 09:00:51.419152,2026-04-14 17:00:51.419152,480,null,Tech Lab,2,PUBLISHED,15,false,false,true,70,2,null,null,2026-04-07 13:14:51.423102,2026-04-07 13:14:51.423102,null
6,Test Session from API,Testing session creation,Testing,TEST001,2026-04-15 10:00:00,2026-04-15 10:00:00,2026-04-15 12:00:00,120,null,Test Room,2,DRAFT,30,false,false,false,70,2,null,null,2026-04-07 13:56:39.977155,2026-04-07 13:56:39.977155,null
12,AL&M Course,Asset Liability and Management comprehensive training.,AL&M,ALM101,2026-05-03 03:41:41.082378,2026-05-03 09:00:41.082387,2026-05-03 17:00:41.08239,480,null,Virtual Room 1,2,PUBLISHED,50,false,true,true,70,2,null,null,2026-04-30 22:11:41.088616,2026-04-30 22:11:41.088622,null
13,Cybersecurity Fundamentals,Essential cybersecurity practices for all employees.,Cybersecurity,CYB101,2026-05-06 03:41:41.083272,2026-05-06 10:00:41.083283,2026-05-06 13:00:41.083287,180,null,Virtual Room 2,2,PUBLISHED,50,false,true,true,70,2,null,null,2026-04-30 22:11:41.088626,2026-04-30 22:11:41.088628,null
15,Sndn,Sn,Djdj,Fsddo1,2026-05-01 00:00:00,2026-05-01 03:30:00,2026-05-01 04:30:00,60,null,Z,2,PUBLISHED,49,false,true,true,70,2,null,null,2026-05-01 04:24:45.631,2026-05-01 04:24:45.845,null
21,Data,null,Array,101,2026-05-01 00:00:00,2026-05-01 08:10:00,2026-05-01 09:10:00,60,null,A,2,PUBLISHED,30,false,true,true,70,2,null,null,2026-05-01 08:10:03.674,2026-05-01 08:10:04.625,null
10,Qie,Fjgjg,Ejrjr,Fd01,2026-04-13 00:00:00,2026-04-13 07:00:00,2026-04-12 21:10:00,50,null,Z,2,CANCELLED,50,false,true,true,70,2,null,null,2026-04-30 19:38:22.386,2026-05-01 08:24:11.776,null
3,First Aid Certification,Basic first aid and CPR training,First Aid,FAD001,2026-04-05 14:00:51.419152,2026-04-05 14:00:51.419152,2026-04-05 17:00:51.419152,180,null,Medical Center,13,COMPLETED,20,true,true,true,70,2,null,null,2026-04-07 13:14:51.423102,2026-05-01 08:24:32.302,null
24,At,null,At,null,2026-05-01 00:00:00,2026-05-01 10:10:00,2026-05-01 11:10:00,60,null,A,2,CANCELLED,30,false,true,true,70,2,null,null,2026-05-01 10:05:48.289,2026-05-01 11:09:30.939,null
20,S,Shdh,Jddjj,Hddh,2026-05-11 00:00:00,2026-05-11 17:29:00,2026-05-11 08:29:00,89,null,Xhxb,2,CANCELLED,22,false,true,true,70,2,null,null,2026-05-01 07:29:28.427,2026-05-01 11:13:23.981,null
14,S,S,S,Dggg,2026-05-10 00:00:00,2026-05-09 22:35:00,2026-05-09 23:35:00,59,null,A,2,CANCELLED,40,false,true,true,70,2,null,null,2026-04-30 22:36:15.683,2026-05-01 11:13:27.644,null
11,Xbdb,Wiwkdk,Xhdnj,FSPP1,2026-05-01 00:00:00,2026-04-30 22:30:00,2026-04-30 23:10:00,40,null,Dbdb,2,CANCELLED,49,false,true,true,70,2,null,null,2026-04-30 19:56:42.882,2026-05-01 11:13:36.333,null
9,Abcd,Abendj,Djfjf,1334,2026-03-05 00:00:00,2026-03-05 05:50:00,2026-03-05 06:50:00,60,null,Qwe,2,CANCELLED,90,false,true,true,70,2,null,null,2026-04-30 19:20:14.588,2026-05-01 11:13:41.282,null
25,SEPM,null,SEPM,null,2026-05-01 00:00:00,2026-05-01 12:45:00,2026-05-01 13:45:00,60,null,B,2,PUBLISHED,30,false,true,true,70,2,null,null,2026-05-01 12:39:39.344,2026-05-01 12:39:39.344,null
26,Al,null,Al,null,2026-05-18 00:00:00,2026-05-18 16:30:00,2026-05-18 17:30:00,60,null,Abc,2,PUBLISHED,30,false,true,true,70,2,null,null,2026-05-03 14:23:44.328,2026-05-03 14:23:44.328,null
27,FDE,null,FDE,null,2026-05-04 00:00:00,2026-05-03 18:40:00,2026-05-03 20:40:00,120,null,B,2,PUBLISHED,30,false,false,false,70,2,null,null,2026-05-03 18:41:22.417,2026-05-03 19:42:07.979,null
28,DBMS intri,null,DBMS,null,2026-05-04 00:00:00,2026-05-03 18:30:00,2026-05-03 19:30:00,60,null,1204,2,PUBLISHED,30,false,true,true,70,2,null,null,2026-05-04 05:00:23.111,2026-05-04 05:00:23.111,null
29,OOPS intro,null,OOPS,null,2026-05-11 00:00:00,2026-05-11 09:49:00,2026-05-11 12:45:00,176,null,A,32,PUBLISHED,30,false,true,true,70,2,null,null,2026-05-04 09:49:51.257,2026-05-04 09:49:51.257,null
