id,session_id,user_id,status,qr_code_token,rsvp_at,created_at
1,1,1,ACCEPTED,d273961b-45d0-4fbe-8024-e8967dc44851,null,2026-04-07 13:14:51.618217
2,2,1,ACCEPTED,29e7e697-3edc-46ca-b56a-69c7ac123f37,null,2026-04-07 13:14:51.618217
3,3,1,ACCEPTED,ce04bb87-3eec-44e5-9b23-32bef7c5837a,null,2026-04-07 13:14:51.618217
5,5,1,ACCEPTED,913a4289-49f8-42b2-83e0-138e9c121fde,null,2026-04-07 13:14:51.618217
9,5,5,ACCEPTED,null,null,2026-04-30 20:05:52.206
10,5,4,ACCEPTED,null,null,2026-04-30 20:05:52.48
11,12,4,ACCEPTED,null,null,2026-04-30 22:11:41.256213
12,13,4,ACCEPTED,null,null,2026-04-30 22:11:41.256218
13,12,5,ACCEPTED,null,null,2026-04-30 22:11:41.25622
14,13,5,ACCEPTED,null,null,2026-04-30 22:11:41.256221
15,12,1,ACCEPTED,null,null,2026-04-30 22:11:41.256223
16,13,1,ACCEPTED,null,null,2026-04-30 22:11:41.256225
17,12,6,ACCEPTED,null,null,2026-04-30 22:11:41.256226
18,13,6,ACCEPTED,null,null,2026-04-30 22:11:41.256228
19,12,7,ACCEPTED,null,null,2026-04-30 22:11:41.25623
20,13,7,ACCEPTED,null,null,2026-04-30 22:11:41.256231
21,12,8,ACCEPTED,null,null,2026-04-30 22:11:41.256233
22,13,8,ACCEPTED,null,null,2026-04-30 22:11:41.256235
23,12,9,ACCEPTED,null,null,2026-04-30 22:11:41.256236
24,13,9,ACCEPTED,null,null,2026-04-30 22:11:41.256238
25,12,10,ACCEPTED,null,null,2026-04-30 22:11:41.25624
26,13,10,ACCEPTED,null,null,2026-04-30 22:11:41.256241
27,11,1,ACCEPTED,null,null,2026-05-01 05:23:37.445
28,15,1,ACCEPTED,null,null,2026-05-01 07:31:13.299
4,4,1,ATTENDED,b6c6559d-d854-43c3-b82e-01ae80767eb8,null,2026-04-07 13:14:51.618217
8,10,1,ATTENDED,null,null,2026-04-30 20:05:47.189
6,10,5,ATTENDED,null,null,2026-04-30 20:05:46.658
7,10,4,ATTENDED,null,null,2026-04-30 20:05:46.965
29,21,1,ACCEPTED,null,null,2026-05-01 08:12:03.948
30,20,1,ACCEPTED,null,null,2026-05-01 08:19:08.276
31,24,1,ATTENDED,null,null,2026-05-01 10:17:10.054
32,25,1,ATTENDED,null,null,2026-05-01 12:39:56.829
33,26,1,ATTENDED,null,null,2026-05-03 14:23:57.586
35,27,27,ACCEPTED,null,null,2026-05-03 18:42:53.894
37,28,29,ACCEPTED,null,null,2026-05-04 05:00:48.89
39,28,9,ACCEPTED,null,null,2026-05-04 05:00:49.128
40,28,8,ACCEPTED,null,null,2026-05-04 05:00:49.264
41,28,7,ACCEPTED,null,null,2026-05-04 05:00:49.385
43,28,6,ACCEPTED,null,null,2026-05-04 05:00:49.672
36,28,1,ATTENDED,null,null,2026-05-04 05:00:48.719
45,28,4,ATTENDED,null,null,2026-05-04 05:00:49.961
46,28,27,ATTENDED,null,null,2026-05-04 05:00:50.099
44,28,5,ATTENDED,null,null,2026-05-04 05:00:49.827
42,28,11,ATTENDED,null,null,2026-05-04 05:00:49.538
38,28,10,ATTENDED,null,null,2026-05-04 05:00:49.009
34,27,1,ATTENDED,null,null,2026-05-03 18:42:53.79
47,29,1,ACCEPTED,null,null,2026-05-04 09:55:45.357
48,29,27,ACCEPTED,null,null,2026-05-04 09:55:45.493
49,29,4,ACCEPTED,null,null,2026-05-04 09:55:45.629
50,29,5,ACCEPTED,null,null,2026-05-04 09:55:45.73
51,29,2,ACCEPTED,null,null,2026-05-04 09:55:45.832
