id,title,description,topic,trainer_id,status,thumbnail_url,created_at,updated_at
1,AL&M - Anti Money Laundering,"Comprehensive course covering Anti-Money Laundering regulations, KYC procedures, suspicious transaction reporting, and compliance frameworks. Essential for all financial sector employees.",Compliance,2,PUBLISHED,null,2026-05-01 06:43:16.48538+00,2026-05-01 06:43:16.48538+00
2,Cybersecurity Fundamentals,"Learn essential cybersecurity practices including password management, phishing detection, data protection, and incident response. Mandatory for all employees handling sensitive data.",Technology,2,PUBLISHED,null,2026-05-01 06:43:16.48538+00,2026-05-01 06:43:16.48538+00
3,Fire Safety & Emergency Response,"Essential training on fire prevention, fire extinguisher usage, evacuation procedures, and emergency response protocols. Required annual certification for all employees.",Safety,2,PUBLISHED,null,2026-05-01 06:43:16.48538+00,2026-05-01 06:43:16.48538+00
4,Aws,Aws is great,Technology,2,PUBLISHED,null,2026-05-01 07:27:50.516+00,2026-05-01 07:29:01.171+00
5,Cyber,Dhdh,Technology,2,DRAFT,null,2026-05-01 07:32:56.288+00,2026-05-01 07:32:56.288+00
6,Data,Shs,Compliance,2,PUBLISHED,null,2026-05-01 08:06:53.865+00,2026-05-01 08:08:21.287+00
7,At,Hhh,Technology,null,PUBLISHED,null,2026-05-01 08:51:59.168+00,2026-05-01 08:51:59.168+00
8,SEPM,null,Technology,null,PUBLISHED,null,2026-05-01 12:38:56.665+00,2026-05-01 12:38:56.665+00
9,Al,Ai is best,Technology,null,PUBLISHED,null,2026-05-03 14:22:12.414+00,2026-05-03 14:22:12.414+00
10,FDE,New,Technology,null,PUBLISHED,null,2026-05-03 18:40:36.861+00,2026-05-03 18:40:36.861+00
11,DBMS,For data,Technology,null,PUBLISHED,null,2026-05-04 04:59:39.266+00,2026-05-04 04:59:39.266+00
12,OOPS,Oops,Technology,null,PUBLISHED,null,2026-05-04 09:49:03.949+00,2026-05-04 09:49:03.949+00
